本編	名詞,一般,*,*,*,*,本編,ホンペン,ホンペン
、	記号,読点,*,*,*,*,、,、,、
殺害	名詞,サ変接続,*,*,*,*,殺害,サツガイ,サツガイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
。	記号,句点,*,*,*,*,。,。,。
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
アリス	名詞,固有名詞,人名,名,*,*,アリス,アリス,アリス
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
現れ	動詞,自立,*,*,一段,連用形,現れる,アラワレ,アラワレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ゾンビ	名詞,一般,*,*,*,*,*
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
噛み付こ	動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,噛み付く,カミツコ,カミツコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
彼女	名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
斧	名詞,一般,*,*,*,*,斧,オノ,オノ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
止め	名詞,一般,*,*,*,*,止め,トメ,トメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
刺さ	動詞,自立,*,*,五段・サ行,未然形,刺す,ササ,ササ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
挙句	名詞,副詞可能,*,*,*,*,挙句,アゲク,アゲク
、	記号,読点,*,*,*,*,、,、,、
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
指輪	名詞,一般,*,*,*,*,指輪,ユビワ,ユビワ
も	助詞,係助詞,*,*,*,*,も,モ,モ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
場	名詞,一般,*,*,*,*,場,バ,バ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
捨て	動詞,自立,*,*,一段,未然形,捨てる,ステ,ステ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
なお	接続詞,*,*,*,*,*,なお,ナオ,ナオ
、	記号,読点,*,*,*,*,、,、,、
小説	名詞,一般,*,*,*,*,小説,ショウセツ,ショーセツ
版	名詞,接尾,一般,*,*,*,版,バン,バン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ハイブ	名詞,一般,*,*,*,*,*
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
バイオ	名詞,一般,*,*,*,*,バイオ,バイオ,バイオ
ハザード	名詞,一般,*,*,*,*,ハザード,ハザード,ハザード
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
スペンス	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
故意	名詞,一般,*,*,*,*,故意,コイ,コイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
事故	名詞,一般,*,*,*,*,事故,ジコ,ジコ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
EOS
アンジェラ・アシュフォード	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Angela	名詞,一般,*,*,*,*,*
Ashford	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
映画	名詞,一般,*,*,*,*,映画,エイガ,エイガ
版	名詞,接尾,一般,*,*,*,版,バン,バン
俳優	名詞,一般,*,*,*,*,俳優,ハイユウ,ハイユー
：	記号,一般,*,*,*,*,：,：,：
ソフィー・ヴァヴァサー	名詞,固有名詞,組織,*,*,*,*
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
吹き替え	名詞,一般,*,*,*,*,吹き替え,フキカエ,フキカエ
：	記号,一般,*,*,*,*,：,：,：
三村	名詞,固有名詞,人名,姓,*,*,三村,ミツムラ,ミツムラ
ゆう	名詞,固有名詞,人名,名,*,*,ゆう,ユウ,ユー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
（	記号,括弧開,*,*,*,*,（,（,（
VHS	名詞,固有名詞,組織,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
DVD	名詞,一般,*,*,*,*,*
版	名詞,接尾,一般,*,*,*,版,バン,バン
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
嶋村	名詞,固有名詞,人名,姓,*,*,嶋村,シマムラ,シマムラ
侑	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
地上波	名詞,一般,*,*,*,*,地上波,チジョウハ,チジョーハ
放送	名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
『	記号,括弧開,*,*,*,*,『,『,『
II	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
チャールズ	名詞,固有名詞,人名,名,*,*,チャールズ,チャールズ,チャールズ
・	記号,一般,*,*,*,*,・,・,・
アシュフォード	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
娘	名詞,一般,*,*,*,*,娘,ムスメ,ムスメ
。	記号,句点,*,*,*,*,。,。,。
愛称	名詞,一般,*,*,*,*,愛称,アイショウ,アイショー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
アンジー	名詞,一般,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
T	名詞,固有名詞,組織,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
ウイルス	名詞,一般,*,*,*,*,ウイルス,ウイルス,ウイルス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
開発	名詞,サ変接続,*,*,*,*,開発,カイハツ,カイハツ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
父	名詞,一般,*,*,*,*,父,チチ,チチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
持つ	動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
立場	名詞,一般,*,*,*,*,立場,タチバ,タチバ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
原作	名詞,一般,*,*,*,*,原作,ゲンサク,ゲンサク
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
シェリー	名詞,固有名詞,人名,姓,*,*,シェリー,シェリー,シェリー
・	記号,一般,*,*,*,*,・,・,・
バー	名詞,一般,*,*,*,*,バー,バー,バー
キン	名詞,一般,*,*,*,*,キン,キン,キン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ
。	記号,句点,*,*,*,*,。,。,。
幼い	形容詞,自立,*,*,形容詞・アウオ段,基本形,幼い,オサナイ,オサナイ
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
筋ジストロフィー	名詞,一般,*,*,*,*,筋ジストロフィー,キンジストロフィー,キンジストロフィー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
患っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,患う,ワズラッ,ワズラッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
T	名詞,固有名詞,組織,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
ウイルス	名詞,一般,*,*,*,*,ウイルス,ウイルス,ウイルス
と	助詞,並立助詞,*,*,*,*,と,ト,ト
抗	接頭詞,名詞接続,*,*,*,*,抗,コウ,コー
ウィルス	名詞,一般,*,*,*,*,ウィルス,ウィルス,ウィルス
剤	名詞,接尾,一般,*,*,*,剤,ザイ,ザイ
双方	名詞,一般,*,*,*,*,双方,ソウホウ,ソーホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
同時	名詞,一般,*,*,*,*,同時,ドウジ,ドージ
投与	名詞,サ変接続,*,*,*,*,投与,トウヨ,トーヨ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
回復	名詞,サ変接続,*,*,*,*,回復,カイフク,カイフク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
物語	名詞,一般,*,*,*,*,物語,モノガタリ,モノガタリ
開始	名詞,サ変接続,*,*,*,*,開始,カイシ,カイシ
時点	名詞,一般,*,*,*,*,時点,ジテン,ジテン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
送っ	動詞,自立,*,*,五段・ラ行,連用タ接続,送る,オクッ,オクッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
ラクーンシティ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
バイオ	名詞,一般,*,*,*,*,バイオ,バイオ,バイオ
ハザード	名詞,一般,*,*,*,*,ハザード,ハザード,ハザード
発生	名詞,サ変接続,*,*,*,*,発生,ハッセイ,ハッセイ
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
アンブレラ	名詞,一般,*,*,*,*,*
社	名詞,接尾,一般,*,*,*,社,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
手	名詞,一般,*,*,*,*,手,テ,テ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
乗っ	動詞,自立,*,*,五段・ラ行,連用タ接続,乗る,ノッ,ノッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
車	名詞,一般,*,*,*,*,車,クルマ,クルマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
トレーラー	名詞,一般,*,*,*,*,トレーラー,トレーラー,トレーラー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
衝突	名詞,サ変接続,*,*,*,*,衝突,ショウトツ,ショートツ
事故	名詞,一般,*,*,*,*,事故,ジコ,ジコ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起こし	動詞,自立,*,*,五段・サ行,連用形,起こす,オコシ,オコシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
、	記号,読点,*,*,*,*,、,、,、
通学	名詞,サ変接続,*,*,*,*,通学,ツウガク,ツーガク
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
隠れ	動詞,自立,*,*,一段,連用形,隠れる,カクレ,カクレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
チャールズ	名詞,固有名詞,人名,名,*,*,チャールズ,チャールズ,チャールズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
手引き	名詞,一般,*,*,*,*,手引き,テビキ,テビキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
訪れ	動詞,自立,*,*,一段,連用形,訪れる,オトズレ,オトズレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
アリス	名詞,固有名詞,人名,名,*,*,アリス,アリス,アリス
・	記号,一般,*,*,*,*,・,・,・
アバーナシー	名詞,一般,*,*,*,*,*
達	名詞,接尾,一般,*,*,*,達,タチ,タチ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
出会っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,出会う,デアッ,デアッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
共に	副詞,一般,*,*,*,*,共に,トモニ,トモニ
行動	名詞,サ変接続,*,*,*,*,行動,コウドウ,コードー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
チャールズ	名詞,固有名詞,人名,名,*,*,チャールズ,チャールズ,チャールズ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ティモシー・ケイン	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
目	名詞,一般,*,*,*,*,目,メ,メ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
射殺	名詞,サ変接続,*,*,*,*,射殺,シャサツ,シャサツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ものの	助詞,接続助詞,*,*,*,*,ものの,モノノ,モノノ
、	記号,読点,*,*,*,*,、,、,、
ラクーンシティ	名詞,一般,*,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
脱出	名詞,サ変接続,*,*,*,*,脱出,ダッシュツ,ダッシュツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
経緯	名詞,一般,*,*,*,*,経緯,ケイイ,ケイイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
映画	名詞,一般,*,*,*,*,映画,エイガ,エイガ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
語ら	動詞,自立,*,*,五段・ラ行,未然形,語る,カタラ,カタラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
『	記号,括弧開,*,*,*,*,『,『,『
III	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
小説	名詞,一般,*,*,*,*,小説,ショウセツ,ショーセツ
版	名詞,接尾,一般,*,*,*,版,バン,バン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
アンブレラ	名詞,一般,*,*,*,*,*
社	名詞,接尾,一般,*,*,*,社,シャ,シャ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
人工	名詞,一般,*,*,*,*,人工,ジンコウ,ジンコー
衛星	名詞,一般,*,*,*,*,衛星,エイセイ,エイセイ
を通じて	助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
操ら	動詞,自立,*,*,五段・ラ行,未然形,操る,アヤツラ,アヤツラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
アリス	名詞,固有名詞,人名,名,*,*,アリス,アリス,アリス
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
射殺	名詞,サ変接続,*,*,*,*,射殺,シャサツ,シャサツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
述べ	動詞,自立,*,*,一段,未然形,述べる,ノベ,ノベ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
EOS
ベッキー	名詞,固有名詞,組織,*,*,*,*
EOS
映画	名詞,一般,*,*,*,*,映画,エイガ,エイガ
版	名詞,接尾,一般,*,*,*,版,バン,バン
俳優	名詞,一般,*,*,*,*,俳優,ハイユウ,ハイユー
：	記号,一般,*,*,*,*,：,：,：
アリアーナ・エンジニア	名詞,固有名詞,組織,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
V	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
クローン・アリス	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
トッド	名詞,固有名詞,人名,名,*,*,トッド,トッド,トッド
（	記号,括弧開,*,*,*,*,（,（,（
カルロス	名詞,固有名詞,人名,一般,*,*,カルロス,カルロス,カルロス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クローン	名詞,一般,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
娘	名詞,一般,*,*,*,*,娘,ムスメ,ムスメ
。	記号,句点,*,*,*,*,。,。,。
聴力	名詞,一般,*,*,*,*,聴力,チョウリョク,チョーリョク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
手話	名詞,一般,*,*,*,*,手話,シュワ,シュワ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
話す	動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス
。	記号,句点,*,*,*,*,。,。,。
オリジナル	名詞,一般,*,*,*,*,オリジナル,オリジナル,オリジナル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アリス	名詞,固有名詞,人名,名,*,*,アリス,アリス,アリス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
母親	名詞,一般,*,*,*,*,母親,ハハオヤ,ハハオヤ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
思い込み	動詞,自立,*,*,五段・マ行,連用形,思い込む,オモイコミ,オモイコミ
、	記号,読点,*,*,*,*,、,、,、
行動	名詞,サ変接続,*,*,*,*,行動,コウドウ,コードー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
共に	副詞,一般,*,*,*,*,共に,トモニ,トモニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
EOS
ガンサバイバーシリーズ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
主人公	名詞,一般,*,*,*,*,主人公,シュジンコウ,シュジンコー
達	名詞,接尾,一般,*,*,*,達,タチ,タチ
[	名詞,サ変接続,*,*,*,*,*
編集	名詞,サ変接続,*,*,*,*,編集,ヘンシュウ,ヘンシュー
]	名詞,サ変接続,*,*,*,*,*
EOS
アーク	名詞,一般,*,*,*,*,アーク,アーク,アーク
・	記号,一般,*,*,*,*,・,・,・
トンプソン	名詞,固有名詞,人名,姓,*,*,トンプソン,トンプソン,トンプソン
(	名詞,サ変接続,*,*,*,*,*
Arc	名詞,一般,*,*,*,*,*
Thompson	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ
：	記号,一般,*,*,*,*,：,：,：
不明	名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ
EOS
声	名詞,一般,*,*,*,*,声,コエ,コエ
：	記号,一般,*,*,*,*,：,：,：
Patrick	名詞,固有名詞,組織,*,*,*,*
Harlan	名詞,一般,*,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
GS	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
主人公	名詞,一般,*,*,*,*,主人公,シュジンコウ,シュジンコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
私立	名詞,一般,*,*,*,*,私立,シリツ,シリツ
探偵	名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ
。	記号,句点,*,*,*,*,。,。,。
レオン	名詞,固有名詞,人名,姓,*,*,レオン,レオン,レオン
・	記号,一般,*,*,*,*,・,・,・
S	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
ケネディ	名詞,固有名詞,人名,姓,*,*,ケネディ,ケネディ,ケネディ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
親友	名詞,一般,*,*,*,*,親友,シンユウ,シンユー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
依頼	名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
アンブレラ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
施設	名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
シーナ	名詞,固有名詞,地域,一般,*,*,*
島	名詞,接尾,地域,*,*,*,島,トウ,トー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
訪れ	動詞,自立,*,*,一段,連用形,訪れる,オトズレ,オトズレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
一時	名詞,副詞可能,*,*,*,*,一時,イチジ,イチジ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
記憶	名詞,サ変接続,*,*,*,*,記憶,キオク,キオク
喪失	名詞,サ変接続,*,*,*,*,喪失,ソウシツ,ソーシツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
陥っ	動詞,自立,*,*,五段・ラ行,連用タ接続,陥る,オチイッ,オチイッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
途	名詞,一般,*,*,*,*,途,ト,ト
惑う	動詞,自立,*,*,五段・ワ行促音便,基本形,惑う,マドウ,マドウ
ばかり	助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
バイオ	名詞,一般,*,*,*,*,バイオ,バイオ,バイオ
ハザード	名詞,一般,*,*,*,*,ハザード,ハザード,ハザード
